"","q_n","date","ISPREAD","EEFR","RET","SMB","HML","MOM","VXO","CSPREAD","TERM","TED","CISS","ADS","MOM"
"4194",130,2018-06-25,-0.103526861834594,0.17757854343863,0.232660765575751,0.295461654084322,0.357172708744478,-0.0224769854424577,0.116657353239585,0.06280392676757,0.095716427143957,0.101482901394568,0.195770161411398,0.445872155762408,NA
"4195",130,2018-06-26,-0.102465981914279,0.176560912061937,0.22376617482904,0.314767650249123,0.368478231680144,-0.0112546845841596,0.115844579703015,0.0611155349943147,0.0962968974017748,0.102246571389875,0.193739248158992,0.445893033739872,NA
"4196",130,2018-06-27,-0.101324449917165,0.172149342106247,0.245793337815451,0.271387934168316,0.327923777439284,-0.0163635124375425,0.111704265595206,0.0598026003554306,0.0973411885599234,0.103007574982104,0.191397438808037,0.44591944968197,NA
"4197",130,2018-06-28,-0.100266618673546,0.171153545740487,0.228391604988584,0.260158306763269,0.361740175936091,-0.00483211693732866,0.109407067358664,0.0575926877237265,0.0982375817843977,0.1035445767263,0.189675252674368,0.445950572543356,NA
"4198",130,2018-06-29,-0.0992882866855584,0.170162542910411,0.2238537962126,0.248376339956982,0.371910678172046,-0.00361304148604136,0.108596230313276,0.0554554348446352,0.0989315890379316,0.104083918011664,0.18875077690375,0.445985593144563,NA
"4199",130,2018-06-30,-0.0992882866855584,0.169176154504004,0.2238537962126,0.248376339956982,0.371910678172046,-0.00361304148604136,0.108596230313276,0.0554554348446352,0.0989315890379316,0.104083918011664,0.18875077690375,0.44602372536143,NA
"4200",131,2018-07-01,0.0653292527265688,0.142832480194919,0.0745700218091392,0.129457339143367,0.273401172930524,-0.220746727262056,0.207721809842017,0.0372892861052154,-0.038179241645099,0.0352108855605411,0.198500399490811,0.380790948710788,NA
"4201",131,2018-07-02,0.068028495632209,0.141872922162431,0.0682063512811408,0.143078528040692,0.283879910607703,-0.185980840120275,0.205393793165982,0.0356500254262873,-0.0375337150334047,0.0372921255992176,0.198391534494022,0.381021775894902,NA
"4202",131,2018-07-03,0.0710715780518534,0.140907114150112,0.0761341448408355,0.172124444158833,0.276353169407428,-0.222141385023953,0.201126497983598,0.0336629438442095,-0.0365658012420909,0.0390703036125668,0.198470682028206,0.381297296626419,NA
"4203",131,2018-07-04,0.0740112712518606,0.139935937707853,0.0835501875931319,0.200555096109675,0.269035201736457,-0.256979988355653,0.19691213263954,0.0319992125913355,-0.0356740261293949,0.0408073462704053,0.199001394154135,0.381604283898764,NA
"4204",131,2018-07-05,0.076743903175414,0.138962755274762,0.067263210988443,0.213499030351661,0.292289404100724,-0.272208562243249,0.193588849052677,0.0315655401734212,-0.0351382708625678,0.0419998358795897,0.199608294956929,0.381929703750459,NA
"4205",131,2018-07-06,0.0796017134122415,0.137989278700414,0.0518839238263853,0.209623851262362,0.306387831908038,-0.263410632304255,0.195210758167228,0.0311766507194289,-0.0343786820937932,0.0436703280010149,0.20016858303748,0.382260711150071,NA
"4206",131,2018-07-07,0.0796017134122415,0.137014233967741,0.0518839238263853,0.209623851262362,0.306387831908038,-0.263410632304255,0.195210758167228,0.0311766507194289,-0.0343786820937932,0.0436703280010149,0.20016858303748,0.382584647387828,NA
"4207",131,2018-07-08,0.0796017134122415,0.136037612682122,0.0518839238263853,0.209623851262362,0.306387831908038,-0.263410632304255,0.195210758167228,0.0311766507194289,-0.0343786820937932,0.0436703280010149,0.20016858303748,0.402883699607811,NA
"4208",131,2018-07-09,0.0819327149332469,0.13506015118321,0.0328547152395164,0.18680864032618,0.231668638207525,-0.228160142464148,0.200075610024037,0.0291921857286113,-0.0339652787658693,0.0458048825788704,0.200175060620707,0.404831746225817,NA
"4209",131,2018-07-10,0.0840792026378345,0.134082608763943,0.0262139126369823,0.148757368582426,0.23680397257965,-0.233224584552222,0.203795045606718,0.0272857545968517,-0.0336039614598285,0.0476389096632546,0.200064092268738,0.406747319407249,NA
"4210",131,2018-07-11,0.0863699015656429,0.133105179825749,0.0389662318885642,0.143159762107802,0.263513453835546,-0.225812542603844,0.205247968690635,0.0250668171227897,-0.0332925721396942,0.0489313373702336,0.199271781288031,0.408624184114234,NA
"4211",131,2018-07-12,0.0885846979734826,0.132129230590773,0.0185305629204162,0.124071064782419,0.340302972256009,-0.190990003330951,0.208644333321395,0.0229734714594585,-0.0329381173309251,0.0504450487476706,0.19846777309255,0.410456162171721,NA
"4212",131,2018-07-13,0.0909399024270385,0.131162038487279,0.0192002750056868,0.114800387783459,0.351886669129094,-0.175951630426013,0.212582782015875,0.0213940248156739,-0.0324530091402835,0.0519252307499123,0.1977894039929,0.41226471289141,NA
"4213",131,2018-07-14,0.0909399024270385,0.130202787152601,0.0192002750056868,0.114800387783459,0.351886669129094,-0.175951630426013,0.212582782015875,0.0213940248156739,-0.0324530091402835,0.0519252307499123,0.1977894039929,0.413971088219916,NA
"4214",131,2018-07-15,0.0909399024270385,0.129246006527078,0.0192002750056868,0.114800387783459,0.351886669129094,-0.175951630426013,0.212582782015875,0.0213940248156739,-0.0324530091402835,0.0519252307499123,0.1977894039929,0.408906221386217,NA
"4215",131,2018-07-16,0.093002751879018,0.128291805821091,0.0252199799044481,0.0785995082400667,0.268312965632756,-0.152388051677038,0.216200003869996,0.0195218017962997,-0.0319338927273387,0.0546121428600017,0.196763050477774,0.409991920412548,NA
"4216",131,2018-07-17,0.0948898433062659,0.127339456067603,0.0165991281464977,0.0857799426872635,0.315259104373579,-0.129483177404513,0.219698474163071,0.00837378530106747,-0.0314718698279197,0.0569880402407481,0.195918481067134,0.411015231085742,NA
"4217",131,2018-07-18,0.0965005297010251,0.126389045004718,0.013449513096436,0.0710798432703407,0.255236026534677,-0.109623267039307,0.223743933402911,-0.0067879575592027,-0.031417955924355,0.0585684521702259,0.19436403883037,0.411980039701032,NA
"4218",131,2018-07-19,0.0984820462167715,0.125440774098403,0.0239946830374471,0.107407418343866,0.27332362072298,-0.113078417861545,0.225998284080283,-0.0069875211756667,-0.0310502083580593,0.0601138794009142,0.19285837347329,0.412890123077514,NA
"4219",131,2018-07-20,0.0998656839058167,0.12449445959445,0.0285424140202077,0.0955427317417138,0.255290261327916,-0.099794154062395,0.227948577324529,-0.00675692796009741,-0.0312560299492368,0.0616253440085419,0.156145704710235,0.413749168513492,NA
"4220",131,2018-07-21,0.0998656839058167,0.12354982011651,0.0285424140202077,0.0955427317417138,0.255290261327916,-0.099794154062395,0.227948577324529,-0.00675692796009741,-0.0312560299492368,0.0616253440085419,0.156145704710235,0.414560763526808,NA
